,nombre_candidato,partido_coalicion,propuestas_general
147,SALOMON CHERTORIVSKI WOLDENBERG,MOVIMIENTO CIUDADANO,"Rendición de cuentas del Gobierno Federal por la gestión de la Pandemia COVID 19.    La pandemia de COVID 19 ha transformado de manera inesperada y dramática la realidad mundial, primero desde la salud, nos enfrentamos a un virus nunca antes visto que puso a trabajar a máxima capacidad a los todo el personal y los recursos disponibles.   El Gobierno del país no fue la excepción, pero a diferencia de otros países, las autoridades del nuestro lo tomaron a la ligera e incluso en algunas ocasiones a broma. Careciendo de solidaridad, profesionalismo, transparencia, entre muchas otras cualidades que debieron aplicar para atender la pandemia.   La falta de pruebas en un principio dificulto conocer el número real de infectados y muertos por la infección, no implementaron de manera pronta las medidas preventivas e incluso desinformaron sobre la importancia del uso del cubrebocas.   Hasta la fecha no hay un informe claro de los recursos utilizados para la atención de los pacientes la adquisición de vacunas, entre otros. Y por otra parte no hay un plan serio de reactivación económica, ni que se va a hacer para la recuperación de empleos.Mejoramiento del Sistema de Salud.    Durante muchos años una gran preocupación de la población en general es que va a pasar si alguien de mi familia se enferma o que va a pasar si esa es una enfermedad grave.   En muchas ocasiones la población más pobre se ve afectada no solo en su bolsillo, sino además en su patrimonio, ante la enfermedad de alguno de los miembros de su familia, por eso es necesario desarrollar un Sistema de Salud Nacional, donde se dé cobertura universal a la población de nuestro país, un sistema de salud, fuerte, moderno, con atención y medicamentos de calidad, donde se garantice el acceso a la salud como un derecho, que además esté garantizado el abasto de medicamentos y la atención médica de calidad. Un Sistema de Salud que llegue a todas las regiones y estratos poblacionales."
148,SALVADOR LOYO ARECHANDIETA,FUERZA POR MÉXICO,"Terminar con la Violencia Política en las MujeresImpulso a los Jóvenes en todos los ámbitos SocialesPromover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
149,SANDRA CAROLINA GIL LAMADRID GRAJALES,MORENA,"Dar reconocimiento a las personas cuidadoras, así como a sus derechos y como una actividad económica, ya que muchas y muchos mexicanos tienen algún familiar (hijo, hija, madre, padre, abuelo, hermanos) que sufre de alguna discapacidad motriz o de otra índole, o alguna enfermedad crónico degenerativa, incluso mental, que no le permite laborar por ocuparse de su familiar, infantes o adultos mayores.Impulsar la aprobación del Código Nacional de Procedimientos Civiles y Familiares, ya que uno de los ejes fundamentales de mis propuestas es el acceso a la justicia, y con la aprobación del Código podrán los diferentes congresos locales podrán reformar sus códigos para permitir a los poderes judiciales estatales la implementación de herramientas y medios digitales para impartir justicia en materia civil y familiar.He diseñado la propuesta que consiste en observa a través de la perspectiva de género, como se expresa la discriminación hacia las mujeres y otros grupos de la población, de que tamaño está arraigada la desigualdad en el acceso a los bienes y servicios, a derechos la desigualdad puede presentarse en la distribución de los recursos, en lo laboral, en lo social, en lo familiar la idea se enfoca en tener un diagnostico claro en lo que sucede en nuestra sociedad, de tal manera aprender a ver con los lentes de la perspectiva de género en donde se encuentran los baches y las brechas para poder hacer parejo el camino de mujeres y hombres, se pretende además generar equilibrio es decir la igualdad real y la igualdad de oportunidades para todas las personas. Con toda la responsabilidad que estoy asumiendo como candidata a ocupar el cargo de Diputada Federal dentro de este proceso electoral, pondré toda mi capacidad destreza y compromiso para retomar en mi distrito X Frailesca la debida diligencia y las medidas de protección en la violencia de género, porque negar a las personas sus derechos humanos es cuestionar su propia humanidad así también he considerado dentro de este espacio que las autoridades municipales implementen dentro de su plantilla de personal al JUEZ FAMILIAR, DE PAZ Y JUGADOS CÍVICOS, para que de manera pronta cuando exista el accidente se active el otorgamiento de las medidas de protección a quienes se encuentren en situación de violencia o discriminación de género, de acuerdo al artículo 137 del código nacional de procedimiento penales."
150,SANDRA CONSUELO CEDILLO RODRIGUEZ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"ABASTO DE VACUNAS  Que se garantice el esquema nacional de vacunación para la niñez y adolescencia mexicanas, de ahí la necesidad de aumentar la cobertura y atender la deficiencia que existe en el seguimiento de  niños, niñas y adolescentes que no completan el mismo, lo anterior con la finalidad de asegurar el derecho a la salud de todas y todos. Asimismo, es imprescindible que las autoridades competentes a nivel federal aseguren el abasto de vacunas, no sólo la de COVID e INFLUENZA, sino para la prevención de enfermedades que aquejan a la población mexicana.CENTROS DE SALUD INTEGRAL Asegurar que la población que no tenga acceso a servicios de salud (ISSSTE o IMSS), pueda acudir a centros de salud integral provistos de medicamentos y personal médico calificado para garantizar la pronta atención, medicamentos gratuitos, así como el seguimiento y monitoreo frecuente de la población que sufre de enfermedades crónicas.Legislar ley de los Derechos LGBT"
151,SERGIO MAYER BRETON,MORENA,"Generar cambios sustantivos en la legislación cultural y social, lo que permita que la comunidad cultural y artística pueda acceder a los beneficios sociales y económicos que le permitan realizar sus actividades profesionales y laborales de una manera digna, asimismo seguir contribuyendo a la transformación social de México.Contribuir en la armonización de las Leyes en materia social y política, todo ello para seguir contribuyendo al cambio de paradigma y consolidar el proyecto de transformación nacional, en beneficio de todas y todos los mexicanos.Mujeres, niñas, madres solteras, trabajadoras, indígenas, víctimas de la violencia física y psicológica y víctimas de abusos moral y sexual."
152,SHARON ESTRADA CORZO,FUERZA POR MÉXICO,"Seguridad y Economía.Apoyo a las mujeres.PROMOVER LA IGUALDAD  DE GÉNERO DENTRO DE LOS ÁMBITOS ADMINISTRATIVOS 
"
153,SILVIA LORENA VILLAVICENCIO AYALA,JUNTOS HACEMOS HISTORIA,"Garantizar a los trabajadores de la Economía Informal el acceso a la seguridad social. Esto es, a gozar de servicios de salud y prestaciones laborales como guarderías, pensiones, préstamos para vivienda. Empezando por jefas de familia.Establecer el Sistema Nacional de Cuidados, para garantizar la protección del Estado a los niños y niñas, Discapacitados, Adultos Mayores y personas con enfermedades crónicas. Estableciendo guarderías, acceso a cuidados especializados en materia de salud, así como reconocer y retribuir el trabajo de las cuidadoras y cuidadores.Promover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
154,SINDY AGUILAR MARTINEZ,VA POR MEXICO,REGRESAR EL SEGURO POPULAR A LA CIUDADANIA CON LA FINALIDAD DE PROVEER UN SERVICIO DE SALUD DIGNO Y EFICAZ PARA AQUELLOS QUE NO CUENTEN CON UN SEGURO MEDICO.INGRESO MÍNIMO VITAL PARA TODAS Y TODOS LOS MEXICANOS.IGUALDAD EN HOMBRES Y MUJERES EN BENEFICIO DE LA SOCIEDAD
155,SOFIA CASTRO GUERRERO,MOVIMIENTO CIUDADANO,"Alto a la austeridad machista. Presupuestos y política fiscal con perspectiva de género.  El actual gobierno federal le ha dado la espalda a las mujeres, bajo el principio de austeridad que impera en su actuar han decidido realizar recortes presupuestales sin importar como ostos impactan de manera diferenciada a niñas y mujeres. Para el presupuesto del 2021 han decidido darle la espalda una vez más a las mujeres con recortes como el de 11 millones de pesos al instituto de las Mujeres, 603 millones de pesos al Centro Nacional de Equidad y Salud Reproductiva y 489 millones de pesos al programa de salud materna, sexual y reproductiva, instituciones y programas que se encargan de la atención a las niñas y mujeres víctimas de violencia, y de generar políticas públicas para evitar embarazos en adolescentes.  Es por esto que desde la bancada de Movimiento Ciudadano en la Cámara de Diputadas promoveremos y aseguraremos que se aprueben presupuestos con perspectiva de género y poner un alto a los recortes masivos y medidas de austeridad sin antes contemplar los impactos que tendrán estas en las niñas y mujeres. Asegurar presupuestos para los refugios para mujeres que sufren violencia, para las casas de la mujer indígena, para la comisión nacional de víctimas, luchar por restablecer y fortalecer el presupuesto destinado a estancias infantiles deben de ser las banderas que defienda Movimiento Ciudadano en la Cámara de Diputados.Plan integral de mitigación de los efectos del cambio climático. Hoy en día enfrentamos una gran amenaza a nivel mundial que exige la impostergable participación de los gobiernos, las empresas y la ciudadanía: el cambio climático. Sin embargo es fundamental que desde los gobiernos encargados de la buena gestión, se tomen acciones concretas, por lo que una de las propuestas principales que queremos impulsar desde la Cámara de Diputadas es la creación, a través de la participación de expertas, expertos, sociedad civil, empresas, comunidades involucradas y tomadoras y tomadores de decisión, de un plan integral que aborde los diferentes ejes en los cuales la agenda ambiental se entrelaza Inter seccionalmente, considerando la diversidad de las personas, los contextos y realidades que vivimos en el país apostando urgentemente por las energías limpias que generen participación horizontal de las comunidades dueñas de las tierras y generar una industria que permita, no solo el manejo limpio de la energía sino también la distribución de la riqueza y la toma de decisiones, además impulsar un plan para implementar y fortalecer esfuerzos enfocados en la captación y manejo de aguas con el objetivo de satisfacer el derecho de todas las personas al acceso de agua limpia. Además, es urgente desarrollar un sistema de manejo de residuos que apueste al reciclaje y garantice la salud de los suelos, los aires y las personas."
156,SONIA PALLARES RUIZ,REDES SOCIALES PROGRESISTAS,PRESERVAR Y CONJUNTAR ESFUERZOS PARA LOGRAR EN NUESTRO PAIS UNA REAL Y VERDADERA IGUALDAD Y EQUIDAD DE GÉNERO
157,SUSANA DINA CAMPOS GONZALEZ,MOVIMIENTO CIUDADANO,"Recuperación económica  El efecto de la crisis sanitaria implica un retroceso en los indicadores de pobreza y desigualdad que se estima en 10 años. El cierre de PYMES se ha incrementado y se advierten mayores efectos en la informalidad, el desempleo y la precariedad laboral. Pero esta recuperación económica no se puede dar sin salud, urge buscar la cobertura de al menos el nivel más básico de salud.Salud universal  En la búsqueda de garantizar el acceso efectivo, universal y gratuito a todas, esta recuperación económica no se puede dar sin salud, urge buscar la cobertura de al menos el nivel más básico de salud. Personas sin seguridad social. Ya que en México las personas no tienen acceso a seguridad social si no es por medio de un contrato de trabajo y esto deja más del 60 de la población con carencias del derecho volviéndolo un privilegio o una mercancía para los servicios privados. Si queremos un país productivo es importante que las personas no tengan que pagar la salud como un privilegio.PROMOVER REFORMAS CONSTITUCIONALES Y A LEYES SECUNDARIAS PARA FORTALECER EL PAPEL Y REPRESENTACIÓN DE LA MUJER, DE LOS JÓVENES, ADULTOS MAYORES Y PERSONAS CON CAPACIDADES DIFERENTES, EN CONDICIONES DE IGUALDAD, ASÍ COMO PARA MEJORAR LA ECONOMÍA, LA SALUD, EL EMPLEO, EL MEDIO AMBIENTE Y EL DESARROLLO REGIONAL CON PERSPECTIVA DE GÉNERO, GARANTIZANDO IGUALDAD DE OPORTUNIDADES PARA MUJERES Y HOMBRES EN TODOS LOS ÁMBITOS."
158,TANIA ALICIA HERNANDEZ GONZALEZ,REDES SOCIALES PROGRESISTAS,"Que la fiscalización Gubernamental sea transparente.Recuperar los fideicomisos para destinarlos a la seguridad pública.Promover reformas constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
159,TERESA MONTSERRAT VILCHES HERRERA,PARTIDO DEL TRABAJO,"1. Vigilar la protección de los Derechos Humanos de los trabajadores y  trabajadoras. Para garantizar un trabajo digno, inclusivo, seguro y con equidad de género. 2. Dar incentivos fiscales a micro,  pequeñas y medianas empresas para favorecer la reactivación económica.3. Promover la Cultura de la Salud y la regulación y vigilancia de los precios de medicamentos e insumos médicos.Mejorar las políticas públicas de la comunidad LGBTTI para que puedan ocupar cargos altos  y públicos, personas con capacidades diferentes."
160,TERESA RAMIREZ MAYA,PARTIDO DEL TRABAJO,"*Legislar para la recuperación salarial y el mejoramiento laboral de todos los trabajadores, así como el fortalecimiento del sistema de pensiones para todos los trabajadores al servicio del Estado.*Impulsar mayor infraestructura al sector salud, más médicos mejores pagados y medicinas gratuitas.Defender igualdad entre hombres y mujeres."
161,TERTULIANO DE JESUS REZA FERNANDEZ,PARTIDO VERDE ECOLOGISTA DE MÉXICO,"EN PRIMER LUGAR, SEGURIDAD, PROPONIENDO QUE LAS CÁMARAS FUNCIONEN CORRECTAMENTE CON UN INDICADOR QUE SEÑALE CUANDO SE ENCUENTRAN APAGADAS Y LA CIUDADANÍA PUEDA HACER EL REPORTE CORRESPONDIENTE PARA QUE SEAN REVISADAS Y ESTÉN FUNCIONANDO EN MENOS DE 24 HORAS.AUNADO A ELLO, LA CONCIENTIZACIÓN SOBRE EL CUIDADO HACIA LOS ANIMALES, ASÍ COMO, AUMENTANDO LAS SANCIONES Y CASTIGOS A MALTRATADORES Y ASESINOS DE ANIMALES. CON ELLO, SE PREVENDRÁN CASOS MÁS GRAVES DE VIOLENCIA, YA QUE, PSICÓLOGOS Y CRIMINÓLOGOS HAN DEMOSTRADO UN NEXO ENTRE LA VIOLENCIA HACIA LOS ANIMALES Y LA VIOLENCIA DOMÉSTICA. COMO AFIRMO EL CRIMINÓLOGO ROBERT KENNETH RESSLER: UN ASESINO INICIALMENTE COMIENZA MATANDO Y TORTURANDO ANIMALES CUANDO ES MENOR DE EDAD.Reformas a diversos ordenamientos legales para prevenir, atender, erradicar y sancionar todo tipo de violencia por razón de género, acoso, hostigamiento, abuso, discriminación y desigualdad."
162,THALIA SHAYLENE ROJANO GARCIA,MOVIMIENTO CIUDADANO,"Acceso a recursos públicos, en caso de desastres naturales, económicos y de enfermedades.Acceso a energías limpias como un derecho para todos.Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a la diversidad sexual e identidad de género, grupos vulnerables y minorías (Afroamericanos, indígenas o discapacidad)
Todos somos México Jóvenes, mujeres, adultos mayores, los pueblos y las comunidades indígenas, y personas con discapacidad. Buscamos materializar sus derechos con acciones, programas y recursos públicos. 

Como un partido progresista, incluyente y plural, garantizaremos la protección, promoción y materialización de los derechos a los grupos minoritarios con acceso a servicios públicos de salud gratuitos y de calidad sin discriminación ni prejuicios; al reconocimiento pleno de las uniones de las personas del mismo sexo, político, de género o edad; a vivir en un ambiente de armonía y paz, sin poner en riesgo la vida o integridad física por su preferencia sexual o identidad de género, por edad o etnia; a la procuración de justicia pronta y expedita; y a eliminar todos los actos de discriminación o violencia hacia la comunidad LGBTTTIQ, pueblos originarios, adultos mayores o de género."
163,VICTOR GABRIEL VARELA LOPEZ,MORENA,"Reforma fiscal progresiva, donde quienes más ganan sean los que más paguen impuestos, cómo el impuesto sobre la renta, debe revisarse para que no sean los trabajadores quienes paguen la mayor aportación del monto recaudado, cuando deben ser los dueños de las empresas oligopólicas principalmente quienes más aporten, la revisión y actualización del impuesto especial sobre producción  y servicios principalmente a las  empresas que lo evaden de diversas formas como son las productoras de bebidas alcohólicas, bebidas azucaradas, alimentos con alto contenido calorífico y de cigarros, disminución del subsidio público a los partidos políticos en un monto del 50 del valor actual, creación del ingreso universal de forma gradual teniendo como base los programas y ayudas universales que actualmente ya se otorgan como la pensión de adultos mayores y las becas para los estudiantes del sistema de educación pública, reformas para otorgar facultades a las alcaldías de la ciudad de México a fin de que puedan conformar y tener el mando de sus cuerpos de seguridad ciudadana.Avanzar en la verdadera equidad e igualdad jurídica para la comunidad de la diversidad sexual.a.	*. Crear y establecer programas de guarderías para niños, jóvenes y adultos con necesidades y capacidades diferentes Especializados (CASE) ¡Nadie puede ser excluido, todos merecen respeto!, b.	* Crear un centro especializado en materia de salud para la atención de niños, jóvenes y adultos con capacidades diferentes (CEAJACD) ¡Construyamos un mundo donde quepan muchos mundos!, c.	* Crear un Centro de Capacitación laboral público para jóvenes y personas adultas Con capacidades y necesidades diferentes con la finalidad de impulsarlos en el plano laboral. ¡Todos somos útiles! ¡Todos merecemos una oportunidad!"
164,VICTOR HUGO CASTILLO MARTINEZ,PARTIDO DEL TRABAJO,"2. Legislar para que haya penas más severas y reales en contra de políticos corruptos (cárcel de al menos 15 años) y en contra también de elementos de cuerpos de seguridad (policías, marinos, PGR, ejército) que permitan o realicen actividades delictivas.3. Una verdadera reactivación de las economías locales, a partir de una ley de Economía social y Cooperativismo.legislar para que la equidad de género sea efectiva en favor de las mujeres."
165,WENDY GONZALEZ URRUTIA,VA POR MEXICO,presentar iniciativas para fortalecer el esquema de rendición de cuentas y favorecer a México.Que las mujeres sean incluidas en todos los proyectos si que pierdan su feminidad .
166,XAVIER GONZALEZ ZIRION,VA POR MEXICO,"Fortalecer el sistema de salud y restablecer el abasto de medicinas.Fortalecer el sistema económico.Tolerancia, trabajo y oportunidad para la mujer, para un desarrollo como políticamente y educativamente."
167,YESSICA ZEPEDA GONZALEZ,PARTIDO ENCUENTRO SOLIDARIO,"Que las empresas privadas tengan un porcentaje de recién egresados de universidad, sin necesidad de tener experiencia y con un sueldo digno.Prohibición y creación de programas sociales donde se regale el dinero, realizar programas en los cuales se genere un empleo.Promover reformas Constitucionales y a leyes secundarias para fortalecer el papel y representación de la mujer, de los jóvenes, adultos mayores y personas con capacidades diferentes, en condiciones de igualdad, así como para mejorar la economía, la salud, el empleo, el medio ambiente y el desarrollo regional con perspectiva de género, garantizando igualdad de oportunidades para mujeres y hombres en todos los ámbitos."
